ZIP,Cnsmr,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC
04730,404,377,$787 
04732,55,*,*
04733,21,*,*
04734,41,*,*
04735,22,*,*
04736,373,341,$816 
04737,*,*,*
04739,53,*,*
04740,27,*,*
04742,102,*,*
04743,266,248,$757 
04744,*,*,*
04745,66,*,*
04746,17,*,*
04747,69,*,*
04750,40,*,*
04756,160,*,*
04757,130,*,*
04758,66,*,*
04760,38,*,*
04761,24,*,*
04762,21,*,*
04763,35,*,*
04764,*,*,*
04765,76,*,*
04766,*,*,*
04768,18,*,*
04769,316,293,$792 
04772,41,*,*
04773,60,*,*
04774,45,*,*
04776,57,*,*
04777,*,*,*
04779,26,*,*
04780,25,*,*
04781,38,*,*
04783,22,*,*
04785,94,*,*
04786,87,*,*
04787,17,*,*
04841,406,349,$536 
04843,587,471,$470 
04847,196,172,$489 
04848,69,55,$479 
04849,365,313,$520 
04850,*,*,*
04851,11,*,*
04852,24,*,*
04853,83,57,$424 
04854,129,100,$519 
04855,31,*,*
04856,315,231,$478 
04858,117,89,$548 
04859,65,48,$461 
04860,137,115,$442 
04861,163,137,$516 
04862,277,220,$483 
04863,196,150,$473 
04864,262,230,$469 
04865,*,*,*
04901,701,593,$510 
04903,*,*,*
04910,88,75,$608 
04911,87,*,*
04912,33,*,*
04915,528,453,$560 
04917,147,120,$546 
04918,12,*,*
04920,65,*,*
04921,91,*,*
04922,37,*,*
04923,11,*,*
04924,68,*,*
04925,11,*,*
04926,*,*,*
04927,86,*,*
04928,96,*,*
04929,22,*,*
04930,136,119,$741 
04932,67,*,*
04935,*,*,*
04936,19,*,*
04937,199,*,*
04938,319,288,$583 
04939,28,*,*
04940,*,*,*
04941,122,108,$560 
04942,40,*,*
04943,49,*,*
04944,*,*,*
04945,93,80,$653 
04947,144,124,$547 
04949,51,*,*
04950,135,*,*
04951,43,*,*
04952,94,82,$516 
04953,108,93,$645 
04955,78,*,*
04956,34,*,*
04957,145,133,$693 
04958,87,*,*
04961,69,*,*
04962,*,*,*
04963,239,190,$548 
04964,28,*,*
04965,61,*,*
04966,70,*,*
04967,97,78,$635 
04969,49,*,*
04970,132,109,$604 
04971,59,*,*
04972,*,*,*
04973,108,96,$525 
04974,103,92,$631 
04975,*,*,*
04976,323,301,$631 
04978,46,*,*
04979,47,*,*
04981,93,82,$595 
04982,54,*,*
04983,78,*,*
04984,37,*,*
04985,13,*,*
04986,83,*,*
04987,44,*,*
04988,74,*,*
04989,97,84,$566 
04992,*,*,*
07001,432,352,$454 
07002,"1,571","1,261",$426 
07003,"1,559","1,162",$401 
07004,250,198,$342 
07005,540,350,$405 
07006,704,451,$383 
07007,*,*,*
07008,"1,082",965,$468 
07009,345,233,$397 
07010,986,793,$454 
07011,"1,104",957,$446 
07012,433,319,$429 
07013,967,767,$439 
07014,197,156,$459 
07015,*,*,*
07016,543,377,$395 
07017,581,500,$426 
07018,432,369,$417 
07019,*,*,*
07020,566,359,$423 
07021,47,21,$435 
07022,434,377,$465 
07023,160,105,$412 
07024,"1,908","1,436",$461 
07026,926,797,$419 
07027,126,91,$436 
07028,231,102,$426 
07029,464,360,$443 
07030,"1,121",504,$360 
07031,499,387,$452 
07032,"1,193","1,003",$442 
07033,256,205,$373 
07034,303,241,$436 
07035,297,210,$409 
07036,"1,120",943,$425 
07039,907,557,$440 
07040,714,380,$399 
07041,309,174,$415 
07042,983,562,$385 
07043,428,212,$396 
07044,422,256,$350 
07045,339,237,$416 
07046,133,71,$416 
07047,"1,916","1,618",$454 
07050,550,467,$427 
07051,*,*,*
07052,"1,381",984,$404 
07054,"1,212",941,$462 
07055,"1,363","1,146",$434 
07057,434,361,$471 
07058,177,120,$399 
07059,599,371,$411 
07060,"1,095",963,$423 
07061,*,*,*
07062,316,266,$434 
07063,283,249,$410 
07064,104,91,$405 
07065,640,499,$403 
07066,372,260,$399 
07067,620,473,$412 
07068,170,112,$417 
07069,229,151,$388 
07070,692,497,$399 
07071,716,561,$428 
07072,211,163,$444 
07073,316,233,$441 
07074,117,*,*
07075,293,188,$436 
07076,649,414,$384 
07077,46,*,*
07078,375,170,$503 
07079,490,223,$384 
07080,792,610,$438 
07081,565,424,$423 
07082,207,136,$400 
07083,"1,496","1,200",$423 
07086,510,330,$396 
07087,"1,799","1,571",$460 
07088,80,68,$438 
07090,708,395,$372 
07092,131,99,$408 
07093,"1,786","1,470",$459 
07094,759,493,$441 
07095,512,352,$441 
07101,*,*,*
07102,193,147,$366 
07103,342,286,$400 
07104,845,734,$427 
07105,988,857,$459 
07106,450,419,$414 
07107,613,568,$444 
07108,274,237,$383 
07109,"1,117",944,$424 
07110,844,630,$401 
07111,921,837,$426 
07112,312,277,$431 
07114,132,121,$412 
07201,576,524,$446 
07202,993,872,$444 
07203,443,371,$417 
07204,403,336,$407 
07205,578,483,$436 
07206,462,402,$427 
07207,*,*,*
07208,828,720,$429 
07302,"1,217",579,$380 
07303,*,*,*
07304,"1,099",843,$412 
07305,"1,127",882,$438 
07306,"1,566","1,150",$405 
07307,"1,537","1,216",$418 
07310,253,116,$343 
07311,21,*,*
07401,220,141,$400 
07403,212,167,$389 
07405,570,397,$408 
07407,723,587,$454 
07410,"1,189",894,$418 
07416,153,137,$442 
07417,452,248,$408 
07418,55,*,*
07419,314,264,$393 
07420,121,100,$447 
07421,216,163,$454 
07422,222,165,$411 
07423,137,100,$348 
07424,813,634,$427 
07428,*,*,*
07430,859,574,$421 
07432,220,158,$390 
07435,63,45,$347 
07436,399,264,$421 
07438,335,258,$400 
07439,55,39,$354 
07440,124,94,$395 
07442,357,279,$406 
07444,247,195,$376 
07446,432,290,$417 
07450,780,464,$434 
07452,360,217,$404 
07456,376,264,$368 
07457,148,99,$444 
07458,420,244,$416 
07460,86,71,$482 
07461,573,452,$408 
07462,203,147,$415 
07463,313,208,$400 
07465,148,114,$369 
07470,"1,750","1,261",$403 
07474,*,*,*
07480,480,324,$438 
07481,459,273,$425 
07501,455,428,$463 
07502,405,360,$454 
07503,387,343,$449 
07504,243,226,$486 
07505,41,*,*
07506,580,437,$391 
07508,662,544,$435 
07511,*,*,*
07512,398,285,$426 
07513,254,240,$480 
07514,329,297,$467 
07522,286,262,$463 
07524,238,221,$471 
07601,"1,236",980,$456 
07603,267,220,$428 
07604,380,282,$455 
07605,566,477,$449 
07606,103,82,$422 
07607,308,220,$422 
07620,74,44,$424 
07621,699,553,$424 
07624,523,387,$399 
07626,473,323,$383 
07627,219,143,$414 
07628,522,416,$395 
07630,202,151,$401 
07631,800,619,$440 
07632,246,163,$476 
07640,166,115,$394 
07641,100,48,$405 
07642,341,266,$395 
07643,453,382,$452 
07644,766,652,$457 
07645,259,168,$444 
07646,630,472,$421 
07647,225,172,$428 
07648,275,210,$447 
07649,274,185,$357 
07650,"1,497","1,312",$520 
07652,"1,229",866,$435 
07656,328,223,$405 
07657,652,562,$482 
07660,484,390,$451 
07661,480,370,$430 
07662,156,123,$428 
07663,460,342,$441 
07666,"1,107",793,$399 
07670,574,369,$449 
07675,933,699,$410 
07676,311,245,$377 
07677,181,108,$414 
07701,697,460,$417 
07702,132,91,$338 
07704,156,84,$394 
07710,*,*,*
07711,54,42,$368 
07712,"1,234",876,$392 
07715,*,*,*
07716,371,241,$398 
07717,64,47,$383 
07718,153,110,$409 
07719,753,589,$411 
07720,176,132,$404 
07721,95,70,$392 
07722,412,259,$321 
07723,25,*,*
07724,809,595,$410 
07726,"1,536","1,114",$405 
07727,242,185,$384 
07728,"1,583","1,102",$407 
07730,368,289,$399 
07731,"1,122",828,$390 
07732,163,126,$410 
07733,559,378,$387 
07734,293,249,$423 
07735,499,403,$434 
07737,120,103,$380 
07738,163,110,$416 
07739,183,101,$393 
07740,834,647,$415 
07746,717,481,$398 
07747,922,653,$401 
07748,704,506,$400 
07750,110,73,$397 
07751,751,480,$418 
07752,*,*,*
07753,"1,021",775,$415 
07755,235,176,$353 
07756,127,92,$407 
07757,213,168,$391 
07758,151,117,$380 
07760,351,180,$382 
07762,305,218,$393 
07764,293,229,$394 
07765,*,*,*
07801,517,426,$424 
07803,102,77,$459 
07820,*,*,*
07821,257,189,$440 
07822,42,*,*
07823,182,152,$449 
07825,317,249,$414 
07826,186,153,$442 
07827,120,103,$447 
07828,421,328,$431 
07830,232,150,$417 
07831,*,*,*
07832,119,92,$382 
07833,*,*,*
07834,481,334,$385 
07836,304,235,$440 
07837,*,*,*
07838,115,95,$422 
